
,,,,,Tot Yds &amp; TO,Tot Yds &amp; TO,Tot Yds &amp; TO,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stPy,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stPy,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
30,1985,28,21.5,329.4,65.5,5.0,2.4,1.0,1.5,19.2,17.7,32.2,204.5,1.3,1.3,5.8,10.6,30.4,124.9,1.0,4.1,7.1,,,,,,,,
31,1984,28,21.2,329.8,65.7,5.0,2.3,1.0,1.4,19.3,18.0,32.0,205.9,1.4,1.3,5.9,10.7,30.8,123.9,0.9,4.0,7.2,,,,,,,,
32,1983,28,21.8,334.4,65.8,5.1,2.5,1.1,1.4,19.4,17.8,31.4,204.6,1.4,1.4,6.0,10.4,31.7,129.7,1.0,4.1,7.6,,,,,,,,
33,1982,28,20.2,317.2,65.0,4.9,2.4,1.0,1.5,18.9,17.8,31.5,199.4,1.3,1.4,5.8,10.3,30.8,117.8,0.9,3.8,7.1,,,,,,,,
34,1981,28,20.7,334.5,66.3,5.0,2.5,1.1,1.6,19.4,17.3,31.7,204.4,1.3,1.4,6.0,10.2,32.4,130.1,1.0,4.0,7.6,,,,,,,,
35,1980,28,20.5,323.5,65.0,5.0,2.3,0.9,1.5,19.0,17.2,30.6,196.0,1.4,1.4,6.0,10.1,32.1,127.5,1.0,4.0,7.5,,,,,,,,
36,1979,28,20.1,315.9,65.2,4.8,2.4,1.1,1.5,18.5,15.7,29.0,180.4,1.2,1.3,5.8,9.3,33.9,135.6,1.1,4.0,7.7,,,,,,,,
37,1978,28,18.3,300.7,64.6,4.7,2.5,1.1,1.6,17.7,14.0,26.4,158.8,1.0,1.4,5.5,8.3,35.9,141.8,1.0,4.0,7.7,,,,,,,,
38,1977,28,17.2,285.8,64.8,4.4,2.5,1.1,1.3,16.9,12.8,25.0,141.9,1.0,1.4,5.2,7.7,37.4,143.9,0.9,3.8,7.9,,,,,,,,
39,1976,28,19.2,302.7,65.7,4.6,2.5,1.2,1.4,17.7,13.7,26.2,152.0,1.1,1.3,5.3,8.1,36.9,150.7,1.1,4.1,8.1,,,,,,,,
40,1975,26,20.6,308.3,66.2,4.7,2.6,1.1,1.5,18.4,14.4,27.4,162.8,1.2,1.5,5.4,8.7,36.3,145.5,1.1,4.0,8.2,,,,,,,,
41,1974,26,18.2,286.5,63.0,4.5,2.3,1.0,1.3,17.1,13.8,26.4,153.2,1.0,1.4,5.3,8.1,34.4,133.3,1.0,3.9,7.7,,,,,,,,
42,1973,26,19.5,285.3,62.2,4.6,2.4,1.1,1.2,16.6,12.6,24.3,140.9,1.0,1.3,5.3,7.4,35.5,144.4,0.9,4.1,7.9,,,,,,,,
43,1972,26,20.3,291.4,60.5,4.8,2.3,1.0,1.3,16.8,12.8,24.8,152.1,1.1,1.3,5.7,7.8,33.7,139.4,1.0,4.1,7.7,,,,,,,,
44,1971,26,19.4,285.8,60.3,4.7,2.6,1.1,1.2,16.2,13.2,25.9,155.7,1.1,1.5,5.6,7.9,32.4,130.1,0.9,4.0,7.1,,,,,,,,
45,1970,26,19.3,281.8,60.7,4.6,2.4,1.0,1.3,15.8,13.8,26.9,161.4,1.2,1.4,5.5,8.2,31.4,120.4,0.8,3.8,6.3,,,,,,,,
46,1969,16,20.9,299.4,61.3,4.9,2.4,1.0,1.4,17.0,14.9,28.3,177.5,1.4,1.4,5.8,8.9,30.5,122.0,0.9,4.0,6.7,,,,,,,,
47,1968,16,20.5,295.3,60.7,4.9,2.5,1.0,1.3,16.9,13.8,26.8,168.5,1.4,1.5,5.8,8.4,31.5,126.8,0.9,4.0,7.1,,,,,,,,
48,1967,16,21.8,299.8,61.9,4.8,2.6,1.0,1.4,17.0,14.7,28.8,179.5,1.4,1.6,5.7,8.8,30.7,120.2,1.0,3.9,6.8,,,,,,,,
49,1966,15,21.7,299.2,62.9,4.8,2.6,1.0,1.4,17.1,15.0,29.1,178.3,1.3,1.5,5.6,8.9,31.0,121.0,1.0,3.9,6.8,,,,,,,,
50,1965,14,23.1,304.5,61.0,5.0,2.6,1.2,1.5,17.2,14.2,27.6,183.8,1.6,1.4,6.1,8.9,30.8,120.7,1.0,3.9,6.8,,,,,,,,
51,1964,14,22.0,297.6,61.8,4.8,2.5,1.2,1.4,17.0,14.3,27.7,173.6,1.4,1.3,5.6,8.8,31.0,124.0,1.0,4.0,6.9,,,,,,,,
52,1963,14,22.0,312.1,61.4,5.1,2.7,1.1,1.2,17.2,14.2,27.6,185.7,1.5,1.5,6.1,8.9,31.2,126.4,1.0,4.1,7.1,,,,,,,,
53,1962,14,22.3,319.7,60.9,5.3,2.9,1.2,1.1,17.5,14.6,27.3,193.8,1.5,1.7,6.5,9.3,30.9,125.9,1.1,4.1,7.2,,,,,,,,
54,1961,14,21.5,311.9,60.8,5.1,2.9,1.2,1.0,17.3,14.1,27.0,180.5,1.5,1.7,6.1,9.1,31.2,131.5,1.0,4.2,7.3,,,,,,,,
55,1960,13,21.6,303.8,61.5,4.9,2.9,1.1,1.2,16.8,13.2,26.4,170.6,1.4,1.8,5.9,8.3,32.6,133.1,1.0,4.1,7.2,,,,,,,,
56,1959,12,21.3,313.5,62.0,5.1,2.8,1.3,1.3,17.4,12.9,25.8,169.8,1.4,1.5,6.1,8.5,34.0,143.7,1.1,4.2,7.6,,,,,,,,
57,1958,12,22.6,321.6,62.8,5.1,3.1,1.4,1.2,17.5,13.6,27.4,180.4,1.5,1.7,6.1,8.5,33.4,141.2,1.2,4.2,7.8,,,,,,,,
58,1957,12,19.8,293.1,61.3,4.8,2.9,1.3,1.3,16.3,11.7,23.2,153.4,1.2,1.6,6.0,7.6,35.8,139.7,1.1,3.9,7.4,,,,,,,,
59,1956,12,20.4,303.2,62.4,4.9,2.8,1.1,1.2,17.2,11.5,22.8,147.6,1.1,1.7,6.0,7.4,37.9,155.6,1.2,4.1,8.6,,,,,,,,
,,,,,Tot Yds &amp; TO,Tot Yds &amp; TO,Tot Yds &amp; TO,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stPy,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
60,1955,12,20.8,306.8,65.3,4.7,3.3,1.5,1.3,17.4,12.7,26.5,159.8,1.3,1.8,5.6,8.0,36.8,147.1,1.2,4.0,8.0,,,,,,,,
